번호,기관명,주소,Latitude,Longitude,사무실 연락처,비상생리대비치여부
40,은평구청소년문화의집 신나는애프터센터,서울특별시 은평구 연서로6길7,37.6043211,126.9165963,070-7335-7906,Y
41,홍은청소년문화의집,서울특별시 서대문구 포방터길 110,37.6014616,126.9499291,02-3216-1318,Y
42,강서구청소년상담복지센터,"서울특별시 강서구 공항대로 42길 23-19, 3층",37.5562039,126.8440543,02-2649-1318,Y
43,광진구청소년상담복지센터,"서울특별시 광진구 아차산로 24길 17, 3층",37.5401932,127.0650671,02-2205-2300,Y
44,노원구청소년상담복지센터,"서울특별시 노원구 덕릉로115길8, 성원빌딩 5층",37.6667484,127.0777853,070-4290-6486,Y
45,서대문구청소년상담복지센터,"서울특별시 서대문구 증가로30길 45-9, 휴먼센터 3~4층",37.5847851,126.9139527,02-3141-1388,Y
46,성북구청소년상담복지센터,"서울특별시 성북구 정릉로 242, 4층",37.6121917,127.0076824,02-3292-1779,Y
47,동작청소년성문화센터,"서울특별시 동작구 여의대방로20길 33, 자유회관 1층",37.4932342,126.9197115,070-4446-8504,Y
48,송파청소년성문화센터,"서울특별시 송파구 중대로 4길 4, 1층 성문화센터",37.4896609,127.1112312,02-2147-5345,Y
49,아하청소년성문화센터,서울특별시 영등포구 영신로 200,37.5249831,126.9030817,02-2677-9068,Y
50,은평청소년성문화센터,서울특별시 은평구 통일로 684,37.6084167,126.9337532,02-6380-7481,Y
51,중랑청소년성문화센터,서울특별시 중랑구 면목로 23길 20,37.5745386,127.083847,02-2207-7480,Y
52,탁틴내일청소년성문화센터,"서울특별시 종로구 새문안로3길 3, 지하2층",37.5706169,126.97238,02-335-0017,Y
53,송파청소년미래센터,서울특별시 송파구 동남로 28길 40,37.501791,127.1395878,070-5030-5169,Y
54,시립노원청소년미래진로센터,서울특별시 노원구 노원로 16길 16,37.6419983,127.0738258,070-8889-9484,Y
55,시립은평청소년미래진로센터,"서울특별시 은평구 통일로 684, 공유동",37.6084167,126.9337532,02-389-2090,Y
56,시립청소년미래진로센터_하자,서울특별시 영등포구 영신로 200,37.5249831,126.9030817,070-8872-0649,Y
57,구립신림청소년독서실,서울특별시 난곡로 58길 15,37.4801485,126.9161948,02-856-1207,Y
58,노량진1동청소년독서실,서울특별시 동작구 만양로3길 8,37.5077923,126.9472523,02-826-4114,Y
59,사당3동청소년독서실,서울특별시 동작구 사당로 13길 50,37.4862144,126.9716331,02-533-8928,Y
60,사당4동청소년독서실,서울특별시 동작구 사당로 22나길 71,37.4804234,126.9730907,02-586-8197,Y
61,상도3동청소년독서실,서울특별시 동작구 국사봉 2나길 25,37.4969617,126.9299953,02-826-6137,Y
62,상도4동청소년독서실,서울특별시 동작구 상도로 11길 67,37.500768,126.9292796,02-823-3036,Y
63,흑석동청소년독서실,서울특별시 동작구 서달로 13길 17,37.508447,126.961878,02-823-5490,Y
64,강서구시설관리공단_발산동청소년공부방,서울특별시 강서구 강서로 47길 72,37.5531123,126.8321385,02-2664-9757,Y
65,강서구시설관리공단_방화동청소년공부방,서울특별시 강서구 초원로11길 19,37.5679976,126.8101589,02-2666-3659,Y
66,강서구시설관리공단_염창동청소년공부방,서울특별시 강서구 공항대로 59다길 80,37.5518528,126.8673896,02-3664-4453,Y
67,1318상상발전소,"서울특별시 중랑구 중랑역로 142, B1",37.6061033,127.0770735,02-6212-7905,Y
68,강동청소년누리터,"서울특별시 강동구 암사길 57, 3층",37.5521359,127.1356972,02-429-4172,Y
69,강동청소년회관,서울특별시 강동구 양재대로 138길 41,37.5496994,127.1462174,02-3426-6212,Y
70,강북늘푸른교육센터,"서울특별시 강북구 도봉로 98길 33, 상가 3층",37.6414177,127.0318898,02-939-1319,Y
71,강서구청교육청소년과,서울특별시 강서구 공항대로 615,37.5473042,126.8733012,02-2600-6919,Y
72,강서청소년회관,서울특별시 강서구 공항대로42길 23-19,37.5562039,126.8440543,02-3664-2456,Y
73,관악늘푸른교육센터,서울특별시 관악구 관천로113,37.488004,126.9215294,02-326-1318,Y
74,꿈꾸는다락방,서울특별시 은평구 진흥로1길17,37.6019565,126.9185195,070-7518-2148,Y
75,서울시립십대여성일시지원센터_나무,"서울특별시 동작구 상도로 152-1, 2층 카페나무",37.5029928,126.9363355,02-3280-7947,Y
76,서울시립청소년드림센터,"서울특별시 강남구 봉은사로 114길 43, 신관 4, 5층",37.5121472,127.0664373,02-2051-8683,Y
77,서울시립청소년문화교류센터,서울특별시 중구 퇴계로26가길 6,37.5590495,126.9902522,02-755-8025,Y
78,서울시립청소년미디어센터,서울특별시 용산구 한강대로 255,37.5409364,126.972551,070-7165-1005,Y
79,서울유스호스텔,서울특별시 중구 퇴계로 26가길 6,37.5590495,126.9902522,070-7099-1606,Y
80,서울청소년자율문화공간,서울특별시 중랑구 겸재로35길 38,37.5897161,127.0857479,02-432-6114,Y
81,서울특별시립청소년활동진흥센터,서울특별시 동작구 여의대방로20길 33,37.4932342,126.9197115,02-849-9223,Y
82,서초구립방배유스센터,서울특별시 서초구 방배로 5길 11,37.4782287,126.999056,070-4858-1825,Y
83,쌍문동청소년랜드,서울특별시 도봉구 노해로 140,37.6471586,127.0260406,02-999-0170,Y
84,주_청소년문화공간,"서울특별시 은평구 역말로 14,  3층  청소년문화공간주역촌동",37.6052271,126.911942,02-382-5652,Y
85,중구교육지원센터,"서울특별시 중구 다산로 38길 85, 중구교육지원센터",37.5613628,127.0196637,02-3396-4696,Y
86,하이서울유스호스텔,"서울특별시 영등포구 영신로 200, 하이서울유스호스텔 1층 사무실",37.5256808,126.9031729,02-2677-1813,Y
87,홍제동청소년활동공간_꿈다락,"서울특별시 서대문구 통일로 39길114, 2층",37.5856371,126.94108,02-6949-5860,Y
88,희망유스나래,서울특별시 중랑구 면목로48길 65 4층,37.5820345,127.0922625,02-495-0268,Y
89,강동구건강가정다문화가족지원센터,"서울특별시 강동구 양재대로138길 41, 2층",37.5496994,127.1462174,02-471-0812,Y
90,강서구건강가정다문화가족지원센터,"서울특별시 강서구 강서로5길 50, 곰달래문화복지센터 4층",37.5289008,126.8488134,02-2606-2037,Y
91,관악구건강가정다문화가족지원센터,"서울특별시 관악구 신림로3길 35, 남파김삼준문화복지기념과 3,4층",37.4675185,126.9448533,02-883-9383,Y
92,광진구건강가정다문화가족지원센터,"서울특별시 광진구 아차산로 24길 17, 5층(자양동, 자양공공힐링센터)",37.5401932,127.0650671,02-458-0666,Y
93,구로구건강가정다문화가족지원센터,"서울특별시 구로구 우마2길 35, 구로구가족통합지원센터 2층",37.4824246,126.8897101,02-830-0481,Y
94,금천구건강가정다문화가족지원센터,서울특별시 금천구 금하로 11길 40,37.4554309,126.9041571,070-7487-5518,Y
95,노원구건강가정다문화가족지원센터,"서울특별시 노원구 동일로173가길 94, 3층",37.6224312,127.0726214,070-4613-0621,Y
96,서대문구건강가정다문화가족지원센터,서울특별시 서대문구 증가로 244 2층,37.5829532,126.9128641,070-4905-2459,Y
97,성북구건강가정다문화가족지원센터,서울특별시 성북구 정릉로 27길 61-6 성북온가족행복지원센터 1층,37.6065816,127.01302,070-7706-1805,Y
98,양천구건강가정다문화가족지원센터,서울특별시 양천구 중앙로 46길 57. 4층,37.5228943,126.8584707,070-7433-3410,Y
99,용산구건강가정다문화가족지원센터,서울특별시 용산구 이태원로 224-19. 한남동공영주차장 부대시설 3층,37.5347934,127.0000555,070-7492-2631,Y
100,은평구건강가정다문화가족지원센터,서울특별시 은평구 은평로21가길 15-17,37.6042702,126.9299709,070-7492-5209,Y
101,종로구건강가정다문화가족지원센터,"서울특별시 종로구 종로53길 29, 토월2층",37.5736665,127.0132021,02-6271-3508,Y
102,중구건강가정다문화가족지원센터,"서울특별시 중구 퇴계로460, 10층",37.5650538,127.0227775,02-2254-3670,Y
103,강동여성인력개발센터,"서울특별시 강동구 양재대로 1458 5,6층",37.5358931,127.1395915,070-4837-2148,Y
104,강북여성인력개발센터,서울특별시 강북구 도봉로 261 수유프라자5층,37.6316665,127.0234632,070-4048-6579,Y
105,강서여성인력개발센터,서울특별시 강서구 까치산로 134 화곡빌딩 5층,37.5478131,126.8496339,070-4048-6338,Y
106,관악여성인력개발센터,서울특별시 관악구 쑥고개로 75 광장빌딩 1층,37.4796391,126.9449248,02-886-9525,Y
107,구로여성인력개발센터,서울특별시 구로구 공원로 63 희훈타워빌 2층,37.5019438,126.8888429,02-867-4456,Y
108,노원여성인력개발센터,"서울특별시 노원구 공릉로187, 5층(건설빌딩)",37.6264058,127.0788436,02-978-9315,Y
109,동대문여성인력개발센터,서울특별시 동대문구 왕산로 60-1,37.5772497,127.0301377,02-921-2020,Y
110,동작여성인력개발센터,서울특별시 동작구 사당로 299 2층,37.4852231,126.9805624,070-4048-6751,Y
111,서대문여성인력개발센터,"서울특별시 서대문구 신촌역로10, 4층",37.5575264,126.9431666,070-4048-6788,Y
112,서울시장애여성인력개발센터,서울특별시 강서구 공항대로41길 34 투에프코트빌딩 7층,37.5592457,126.8457028,02-6929-0002,Y
113,서초여성인력개발센터,서울특별시 서초구 강남대로216 양재프라자 3층,37.4718344,127.0400527,070-4048-6235,Y
114,성동여성인력개발센터,서울특별시 성동구 무학로2길 54 신방빌딩 1층,37.5620968,127.0351798,02-3395-5141,Y
115,송파여성인력개발센터,서울특별시 송파구 중대로9길 34,37.4962364,127.1187552,02-430-6075,Y
116,영등포여성인력개발센터,서울특별시 영등포구 영중로 61 극동빌딩 4층,37.5218589,126.9046037,070-4048-6684,Y
117,용산여성인력개발센터,서울특별시 용산구 청파로 139-21,37.5347898,126.9663851,070-4048-6090,Y
118,은평여성인력개발센터,서울특별시 은평구 녹번로 76 은평여성인력개발센터,37.6070543,126.9323513,070-4048-6855,Y
119,종로여성인력개발센터,서울특별시 종로구 대학로11길 23 스타시티빌딩 2층,37.5820241,127.0004101,070-4048-7286,Y
120,중랑여성인력개발센터,서울특별시 중랑구 망우로32길 20,37.5929469,127.0764456,02-3409-1946,Y
121,남부여성발전센터,서울특별시 금천구 독산로 50길 23,37.4630783,126.9059344,02-802-0923,Y
122,동부여성발전센터,서울특별시 광진구 아차산로30길 36,37.5393556,127.0667081,02-460-2324,Y
123,북부여성발전센터,서울특별시 노원구 동일로207길 50,37.6432761,127.0615013,02-3399-7699,Y
124,서부여성발전센터,서울특별시 양천구 남부순환로 371,37.534104,126.8299266,070-5148-7203,Y
125,중부여성발전센터,서울특별시 마포구 토정로35길 17,37.5408227,126.9439388,02-719-6302,Y
126,서울시여성가족재단,서울특별시 동작구 여의대방로54길 18,37.5115519,126.9271787,02-810-5000,Y
127,서울여성공예센터_더아리움,서울특별시 노원구 동일로 174길 27,37.619671,127.0767099,070-4287-8235,Y
128,장애여성네트워크,"서울특별시 강서구 강서로 385, 511호",37.5599712,126.8383182,02-784-1680,Y
129,가락종합사회복지관,서울특별시 송파구 양재대로 897,37.495511,127.106869,070-7754-8392,Y
130,가양5종합사회복지관,서울특별시 강서구 양천로57길 36,37.5635612,126.8547253,070-8275-6004,Y
131,갈월종합사회복지관,서울특별시 용산구 두텁바위로 25,37.5457358,126.9747756,070-4658-1100,Y
132,공릉종합사회복지관,서울특별시 노원구 동일로 1127,37.6302524,127.0694461,02-948-5111,Y
133,광장종합사회복지관,서울특별시 광진구 아차산로 66길8 2층,37.5410171,127.0971845,070-4649-0913,Y
134,금천누리종합사회복지관,서울특별시 금천구 가산로 129,37.476852,126.8917561,070-4365-8119,Y
135,금천장애인종합복지관,서울특별시 금천구 시흥대로 101길 7,37.4637858,126.8967453,02-6912-8022,Y
136,길음종합사회복지관,서울특별시 성북구 삼양로8가길 32,37.6087686,127.0247485,02-6315-6425,Y
137,까리따스방배종합사회복지관,서울특별시 서초구 남부순환로 2124,37.4745206,126.9842397,02-522-6004,Y
138,노원1종합사회복지관,서울특별시 노원구 월계로 372,37.6299987,127.0605127,070-7011-1560,Y
139,녹번종합사회복지관,서울특별시 은평구 은평로21길 14-26,37.6026699,126.9317526,02-388-6341,Y
140,대방종합사회복지관,서울특별시 동작구 여의대방로44길 47,37.5095787,126.929865,02-826-2900,Y
141,동작이수사회복지관,서울특별시 동작구 동작대로 35차길7,37.4930717,126.9768631,02-592-3721,Y
142,방아골종합사회복지관,서울특별시 도봉구 시로봉로17길 42,37.6692804,127.032581,02-3491-0500,Y
143,방화11종합사회복지관,서울특별시 강서구 개화동로 21길 4,37.5703721,126.8030747,070-5153-8230,Y
144,본동종합사회복지관,서울특별시 동작구 노량진로 32길 79,37.5105025,126.956884,02-817-8052,Y
145,봉천종합사회복지관,서울특별시 관악구  관악로 254,37.4865997,126.9575184,02-870-4454,Y
146,사당종합사회복지관,서울특별시 동작구 사당로 14길 20,37.4832294,126.9714456,02-597-3710,Y
147,삼전종합사회복지관,서울특별시 송파구 백제고분로 32길 35,37.4990868,127.0949606,02-421-6077,Y
148,서대문장애인종합복지관,서울특별시 서대문구 북아현로 24,37.5594408,126.9570091,02-3140-3017,Y
149,서대문종합사회복지관,서울특별시 서대문구 모래내로 177,37.5714004,126.9200551,02-375-5040,Y
150,서울시립뇌성마비복지관,서울특별시 노원구 덕릉로 70가길 96,37.642332,127.0566646,070-4258-7234,Y
151,서울시립대학교종합사회복지관,서울특별시 중랑구 신내로 115,37.6092166,127.0946652,02-6671-7508,Y
152,서울시립북부장애인종합복지관,서울특별시 노원구 덕릉로70가길 92,37.642332,127.0566646,02-2092-1721,Y
153,시립발달장애인복지관,서울특별시 동작구 여의대방로 20길 33,37.4932342,126.9197115,02-840-1508,Y
154,신내종합사회복지관,서울특별시 중랑구 봉화산로 153,37.6052616,127.0911015,02-3421-3400,Y
155,신당종합사회복지관,서울특별시 중구 동호로11길22,37.5543383,127.0095445,02-2231-1877,Y
156,신림종합사회복지관,서울특별시 관악구 난곡로 110,37.4648145,126.9198278,02-851-6752,Y
157,신목종합사회복지관,서울특별시 양천구 목동동로 12길59,37.5229444,126.8738458,02-2643-0808,Y
158,신월종합사회복지관,서울특별시 양천구 신월로 24길 19,37.5202627,126.8467542,070-5168-2107,Y
159,영등포종합사회복지관,서울특별시 영등포구 신길로 13길 4,37.4972409,126.9075362,02-845-5331,Y
160,우면종합사회복지관,서울특별시 서초구 바우뫼로7길 11,37.4702097,127.0241934,02-577-6321,Y
161,원광장애인종합복지관,서울특별시 중랑구 신내로56,37.6041626,127.096064,070-7011-6769,Y
162,유락종합사회복지관,서울특별시 중구 퇴계로 460,37.5650538,127.0227775,02-2235-4000,Y
163,유린원광종합사회복지관,서울특별시 중랑구 신내로 56,37.6041626,127.096064,070-8275-6004,Y
164,은평종합사회복지관,서울특별시 은평구 수색동 은평터널로 48,37.5850099,126.8993086,070-4673-5107,Y
165,이대종합사회복지관,서울특별시 서대문구 이화여대길 52,37.5642551,126.9503079,02-3277-3191,Y
166,자양종합사회복지관,서울특별시 광진구 자양번영로 35,37.5328611,127.0752184,02-458-1664,Y
167,장안종합사회복지관,서울특별시 동대문구 한천로18길 48,37.567917,127.0661549,02-2242-7564,Y
168,장위종합사회복지관,서울특별시 성북구 돌곶이로 22길 47,37.6106605,127.060482,070-5184-7557,Y
169,정립회관,서울특별시 광진구 워커힐로 93,37.5513581,127.0973857,070-7435-8221,Y
170,중곡종합사회복지관,서울특별시 광진구 용마산로3길 62,37.5566488,127.0848255,02-3436-4316,Y
171,중림종합사회복지관,서울특별시 중구 서소문로6길 16,37.5598173,126.966814,02-362-3348,Y
172,중앙사회복지관,서울특별시 관악구 봉천로 41길 33,37.4843289,126.9480464,02-872-5802,Y
173,풍납종합사회복지관,서울특별시 송파구 강동대로3길 5,37.5276787,127.1138237,070-5118-1784,Y
174,화원종합사회복지관,서울특별시 구로구 벚꽃로484,37.4973069,126.8801438,02-6925-5265,Y
175,강서구립가양도서관,서울특별시 강서구 양천로61길 101,37.5619849,126.863732,02-3665-8797,Y
176,강서구립등빛도서관,서울특별시 강서구 강서로 62길 48,37.5623555,126.8422411,070-4454-0651,Y
177,강서구립푸른들청소년도서관,서울특별시 강서구 강서로 45다길 71,37.54464,126.8351506,070-8852-7773,Y
178,강서영어도서관,서울특별시 강서구 곰달래로57가길 26,37.5345734,126.8606077,02-2061-2272,Y
179,관악문화재단_관악중앙도서관,서울특별시 관악구 신림로3길 35,37.4675185,126.9448533,02-828-5829,Y
180,광진정보도서관,서울특별시 광진구 아차산로 78길 90,37.5510185,127.1105699,02-2049-2927,Y
181,구로기적의도서관,"서울특별시 구로구 구로중앙로40길, 24",37.5071053,126.8775035,070-4103-7993,Y
182,구로문화원_구로꿈나무어린이도서관,서울특별시 구로구 구로동로 26길 54,37.4898684,126.8872465,02-830-1623,Y
183,구로문화원_궁동어린이도서관,서울특별시 구로구 오리로 1352,37.4943867,126.8325917,02-2615-5002,Y
184,구로문화원_글마루한옥어린이도서관,서울특별시 구로구 고척로27바길 7,37.5068616,126.8456141,02-2060-5169,Y
185,구로문화원_꿈마을도서관,서울특별시 구로구 디지털로27다길 65,37.4871738,126.8902592,02-830-5807,Y
186,구로문화원_온누리도서관,서울특별시 구로구 구로중앙로27나길 9,37.4969154,126.8858064,02-858-9080,Y
187,구로문화원_하늘도서관,서울특별시 구로구 구로동로13길 68,37.4874326,126.8809177,02-864-9585,Y
188,구립은뜨락도서관,서울특별시 은평구 통일로 972,37.6123992,126.9292744,02-389-7635,Y
189,구립은평뉴타운도서관,서울특별시 은평구 진관2로 111-51,37.6363626,126.931633,02-6341-6413,Y
190,구립응암정보도서관,서울특별시 은평구 가좌로7길 15,37.5859315,126.9196742,02-308-2320,Y
191,구립증산정보도서관,서울특별시 은평구 증산로5길 6,37.5827008,126.9075861,02-307-6030,Y
192,구의제3동도서관,서울특별시 광진구 강변역로17 3층,37.538066,127.0918804,070-4915-4976,Y
193,그래그래작은도서관,서울특별시 구로구 구일로8길 131,37.4984927,126.8767277,,Y
194,내를건너서숲으로도서관,서울특별시 은평구 증산로 17길 50,37.5910476,126.9096189,02-307-6701,Y
195,대림정보문화도서관,서울특별시 영등포구 도신로 27,37.5042506,126.8960596,02-828-3703,Y
196,데시앙책울터작은도서관,서울특별시 중랑구 용마산로 669,37.6109183,127.0993235,070-8119-0013,Y
197,도봉문화정보도서관,서울특별시 도봉구 덕릉로315,37.6445808,127.0438827,070-5101-1129,Y
198,도봉아이나라도서관,서울특별시 도봉구 노해로69길 151,37.6590072,127.0494699,02-995-4171,Y
199,문래정보문화도서관,서울특별시 영등포구 문래로20길 49,37.5167598,126.8911719,02-2629-8603,Y
200,불암도서관,서울특별시 노원구 중계동 106,37.6516236,127.0825099,070-7718-2385,Y
201,사당솔밭도서관,서울특별시 동작구 솔밭로 86,37.4838086,126.9665127,070-7204-4243,Y
202,서대문구립이진아기념도서관,서울특별시 서대문구 독립문공원길 80,37.5743009,126.9559178,02-360-8623,Y
203,서대문구립홍은도담도서관,서울특별시 서대문구 홍은중앙로 129,37.6017786,126.9489927,02-360-8642,Y
204,서울도서관,서울특별시 중구 세종대로 110,37.5663797,126.9777154,02-2133-0300,Y
205,서울책보고,서울특별시 송파구 오금로 1,37.5217861,127.1032265,02-6951-4977,Y
206,선유정보문화도서관,서울특별시 영등포구 선유로 43가길 10-8,37.5332751,126.8929164,02-2163-0804,Y
207,소나무언덕잠실본동작은도서관,서울특별시 송파구 탄천동로 211,37.5029886,127.0786791,02-412-0750,Y
208,송파글마루도서관,서울특별시 송파구 충민로120,37.4807272,127.1268478,02-449-8855,Y
209,송파어린이도서관,서울특별시 송파구 올림픽로 105,37.5120643,127.0824157,02-418-0156,Y
210,송파위례도서관,서울특별시 송파구 위례광장로 210,37.4850892,127.1332182,02-402-3003,Y
211,쌍문채움도서관,서울특별시 도봉구 우이천로 340,37.6492052,127.0230667,070-4943-2251,Y
212,여의샛강마을도서관,서울특별시 영등포구 여의대로 24,37.5237584,126.9225703,02-2629-2221,Y
213,용산구립청파도서관,서울특별시 용산구 청파로93길 27,37.5538955,126.9675303,070-4906-2536,Y
214,은평구립구산동도서관마을,서울특별시 은평구 연서로 13길 29-23,37.6096052,126.9130176,02-357-8751,Y
215,은평구립도서관,서울특별시 은평구 통일로78가길 13-84,37.6189368,126.9282542,02-385-1671,Y
216,자양제4동도서관,서울특별시 광진구 뚝섬로26길 58,37.5340546,127.0662311,02-465-0737,Y
217,장안어린이도서관_동대문구청소속,서울특별시 동대문구 장한로 26다길 10,37.571209,127.0731867,02-2249-1959,Y
218,중곡문화체육센터도서관,서울특별시 광진구 능동로 433,37.5677533,127.0847135,02-3408-4938,Y
219,흥부네그림책도서관,서울특별시 구로구 고척로 1길 30,37.4949373,126.8390906,02-2060-1742,Y
220,겸재정선미술관,서울특별시 강서구 양천로47길 36,37.5721747,126.8383772,02-2659-2206,Y
221,돈의문박물관,서울특별시 종로구 신문로2가 7-22,37.5687865,126.9685111,02-2133-2533,Y
222,몽촌역사관,서울특별시 송파구 방이동 88-3,37.5238624,127.1242793,02-2152-5888,Y
223,북서울미술관,서울특별시 노원구 동일로 1238,37.6562713,127.0624069,02-2124-5213,Y
224,서대문자연사박물관,서울특별시 서대문구 연희로32길 51,37.5766913,126.9378364,02-330-8858,Y
225,서대문형무소역사관,서울특별시 서대문구 통일로 251,37.5743009,126.9559178,02-360-8594,Y
226,서울기록원,서울특별시 은평구 통일로 62길 7,37.6085984,126.9338761,02-350-5637,Y
227,서울시립과학관,서울특별시 노원구 한글 비석로 160,37.6537493,127.0683519,02-970-4526,Y
228,서울시립미술관,서울특별시 중구 덕수궁길 61,37.5642629,126.9746757,02-2124-8828,Y
229,서울식물원,서울특별시 강서구 마곡동로 161,37.5590032,126.8343207,02-2104-9734,Y
230,서울약령시한의약박물관,서울특별시 동대문구 약령중앙로 26,37.5805121,127.0371533,070-4227-5082,Y
231,서울역사박물관,서울특별시 종로구 새문안로 55,37.5700566,126.9705312,02-724-0127,Y
232,아름다운청년_전태일기념관,서울특별시 종로구 청계천로 105,37.5684366,126.9893082,02-318-0903,Y
233,은평역사한옥박물관,서울특별시 은평구 연서로50길 8,37.6034774,126.915963,02-351-8524,Y
234,한성백제박물관,서울특별시 송파구 위례성대로 71,37.5152456,127.1206369,02-2152-5843,Y
235,허준박물관,서울특별시 강서구 허준로 87,37.5679303,126.8512999,02-3661-8686,Y
236,관악청년문화공간_신림동쓰리룸,서울특별시 관악구 신림로 91,37.4702988,126.9390781,070-4922-6965,Y
237,다시서기종합지원센터,서울특별시 중구 통일로 13,37.5568528,126.9715719,02-777-0564,Y
238,모두의학교,서울특별시 금천구 남부순환로128길 42,37.4788455,126.906886,02-852-7266,Y
239,무중력지대_대방동,서울특별시 동작구 등용로 79-1,37.5082883,126.9320415,02-824-6258,Y
240,무중력지대_양천,서울특별시 양천구 오목로 359,37.5245067,126.862375,070-7710-4325,Y
241,삼각산시민청,"서울특별시 도봉구 삼양로 592, 2층",37.655745,127.0135176,02-900-7766,Y
242,서남권글로벌센터,서울특별시 영등포구 도신로 40,37.5047036,126.897392,02-2229-4903,Y
243,서부공원녹지사업소_문화비축기지,서울특별시 마포구 증산로 87,37.5625072,126.8928088,02-376-8413,Y
244,서울디자인재단DDP,서울특별시 중구 을지로 281,37.5667521,127.0101046,02-2153-0145,Y
245,서울문화재단_서서울예술교육센터,서울특별시 양천구 남부순환로 64길 2,37.52765,126.8318536,02-2697-0016,Y
