"번호","구분","화장실명","소재지도로명주소","Latitude","Longitude","소재지지번주소","남녀공용화장실여부","남성용-대변기수","남성용-소변기수","남성용-장애인용대변기수","남성용-장애인용소변기수","남성용-어린이용대변기수","남성용-어린이용소변기수","여성용-대변기수","여성용-장애인용대변기수","여성용-어린이용대변기수","관리기관명","전화번호","개방시간","설치연월","WGS84위도","WGS84경도","화장실소유구분","화장실설치장소유형","오물처리방식","비상벨설치여부","비상벨설치장소","화장실입구CCTV설치유무","기저귀교환대유무","기저귀교환대장소","리모델링연월","데이터기준일자"
"3478","공중화장실","무수골마을입구","서울특별시 도봉구 도봉로169길 302, 성신여자대학교교육관 (도봉동)","37.6771197","127.030221","서울특별시 도봉구 도봉동 472-3 성신여자대학교교육관","N","1","1","0","0","0","0","3","0","0","도봉구 공원녹지과","02-2091-3764","상시","2015-01","","","지방자치단체","관광·체육시설","수세식","N","없음","N","N","없음","","2020-10-05"
"3447","공중화장실","힐사이드배드민턴장","서울특별시 도봉구 도봉로163길 30 (도봉동)","37.6765637","127.0431199","서울특별시 도봉구 도봉동 산 98-13","N","1","1","0","0","0","0","1","0","0","도봉구 공원녹지과","02-2091-3764","상시","2018-01","","","지방자치단체","관광·체육시설","수세식","N","없음","N","N","없음","","2020-10-05"
"3448","공중화장실","국제배드민턴장","서울특별시 도봉구 도봉로163길 29 (도봉동)","37.6762375","127.0428894","서울특별시 도봉구 도봉동 산 98-9","N","1","1","0","0","0","0","1","0","0","도봉구 공원녹지과","02-2091-3764","상시","2018-01","","","지방자치단체","관광·체육시설","수세식","N","없음","N","N","없음","","2020-10-05"
"3503","공중화장실","도봉1동 주민센터 화장실","서울특별시 도봉구 도봉로169나길 89 (도봉동)","37.6755702","127.0437074","서울특별시 도봉구 도봉동 601-59","N","1","2","1","1","0","0","1","0","1","도봉1동 주민센터","02-2091-5806","09:00-18:00","","","","지방자치단체","공공용시설","수세식","N","없음","Y","N","없음","","2020-09-25"
"3449","공중화장실","율곡약수터","서울특별시 도봉구 시루봉로23나길 37 (도봉동)","37.6738426","127.0394604","서울특별시 도봉구 도봉동 산 96-1","N","1","1","0","0","0","0","1","0","0","도봉구 공원녹지과","02-2091-3464","상시","2009-01","","","지방자치단체","관광·체육시설","수세식","N","없음","N","N","없음","","2020-10-05"
"2338","공중화장실","상계3.4동주민센터 공중화장실 (지하1층)","서울 노원구 덕릉로 859 (상계동, 상계3.4동주민센터)","37.6728818","127.0832321","","N","2","1","0","0","0","0","4","0","0","상계3.4동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2339","공중화장실","상계3.4동주민센터 공중화장실 (1층)","서울 노원구 덕릉로 859 (상계동, 상계3.4동주민센터)","37.6728818","127.0832321","","N","2","2","0","0","0","0","4","0","0","상계3.4동주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2340","공중화장실","상계3.4동주민센터 공중화장실 (2층)","서울 노원구 덕릉로 859 (상계동, 상계3.4동주민센터)","37.6728818","127.0832321","","N","2","2","0","0","0","0","4","0","0","상계3.4동주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2341","공중화장실","상계3.4동 주민센터 공중화장실(3층)","서울 노원구 덕릉로 859 (상계동, 상계3.4동주민센터)","37.6728818","127.0832321","","N","2","2","0","0","0","0","4","0","0","상계3.4동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"2342","공중화장실","상계3.4동 주민센터 공중화장실(4층)","서울 노원구 덕릉로 859 (상계동, 상계3.4동주민센터)","37.6728818","127.0832321","","N","2","2","0","0","0","0","4","0","0","상계3.4동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"2343","공중화장실","상계3.4동 자치센터 공중화장실(5층)","서울 노원구 덕릉로 859 (상계동, 상계3.4동주민센터)","37.6728818","127.0832321","","N","2","2","0","0","0","0","4","0","0","상계3.4동 자치센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2358","공중화장실","노일가스충전소 개방화장실","서울 노원구 동일로 1601 (상계동, 동일로가스)","37.6714118","127.0555496","","N","2","2","0","0","0","0","2","0","0","노원구청 자원순환과","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2345","개방화장실","거상빙딩(개방화장실)","서울 노원구 덕릉로126길 30 (상계동)","37.6710449","127.0831573","","N","1","1","0","0","0","0","1","0","0","노원구 자원순환과","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2344","개방화장실","신천지빌딩(개방화장실)","서울 노원구 덕릉로126길 17 (상계동)","37.6707108","127.0821378","","N","4","4","0","0","0","0","4","0","0","노원구 자원순환과","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2396","공중화장실","당고개역 화장실","서울 노원구 상계로 305 (상계동, 당고개역)","37.6705563","127.0793058","","N","2","9","0","1","0","1","2","0","0","서울교통공사","","정시","","","","공공기관","교통시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"3491","공중화장실","도봉산역광역환승센터 B2층","서울특별시 도봉구 도봉로 955, 도봉산역 광역환승센타 (도봉동)","37.6703415","127.0407797","서울특별시 도봉구 도봉동 288-19 도봉산역 광역환승센타","N","2","2","0","0","0","0","6","0","0","서울시설공단 주차시설운영처","02-2290-6397","상시","2013-01","","","국가","기타","수세식","Y","남자화장실+여자화장실","Y","Y","여자화장실","","2020-09-29"
"3492","공중화장실","도봉산역광역환승센터1층","서울특별시 도봉구 도봉로 955, 도봉산역 광역환승센타 (도봉동)","37.6703415","127.0407797","서울특별시 도봉구 도봉동 288-19 도봉산역 광역환승센타","N","3","6","1","1","0","0","12","1","0","서울시설공단 주차시설운영처","02-2290-6397","상시","2013-01","","","국가","기타","수세식","Y","장애인화장실+남자화장실+여자화장실","Y","Y","여자화장실","","2020-09-29"
"3500","공중화장실","도봉2동 주민센터 화장실","서울특별시 도봉구 마들로 668, 도봉2동주민센터(도봉서원종합복지관) (도봉동)","37.6696623","127.0465155","서울특별시 도봉구 도봉동 636-9 도봉2동주민센터(도봉서원종합복지관)","N","2","2","0","0","0","0","2","0","0","도봉2동 주민센터","02-2091-5830","09:00-18:00","","","","지방자치단체","공공용시설","수세식","N","없음","Y","N","없음","","2020-09-25"
"3450","공중화장실","장수배드민턴장","서울특별시 도봉구 시루봉로15길 106 (방학동)","37.6692396","127.0284952","서울특별시 도봉구 방학동 414-3","N","1","1","0","0","0","0","1","0","0","도봉구 공원녹지과","02-2091-3765","상시","2020-01","","","지방자치단체","관광·체육시설","수세식","N","없음","N","N","없음","","2020-10-05"
"3501","공중화장실","도봉구 종합청사 화장실","서울특별시 도봉구 마들로 656, 도봉구청 (방학동)","37.6687735","127.047071","서울특별시 도봉구 방학동 720 도봉구청","N","5","7","1","0","1","1","7","1","1","도봉구청 행정지원과","02-2091-2107","09:00-18:00","","","","지방자치단체","공공용시설","수세식","N","없음","Y","N","없음","","2020-09-25"
"3472","공중화장실","방학2동 주민센터 화장실","서울특별시 도봉구 시루봉로 226, 방학2동주민센터 (방학동)","37.6681901","127.0350444","서울특별시 도봉구 방학동 621-2 방학2동주민센터","N","1","2","0","0","0","0","2","0","0","방학2동 주민센터","02-2091-5630","09:00-18:00","","","","지방자치단체","공공용시설","수세식","N","없음","Y","N","없음","","2020-09-25"
"3499","공중화장실","도봉기적의 도서관 화장실","서울특별시 도봉구 마들로 797, 도봉기적의도서관 (도봉동)","37.6676581","127.049132","서울특별시 도봉구 도봉동 652-1 도봉기적의도서관","N","2","3","0","0","1","0","6","0","0","도봉구청 문화체육과","02-3493-7171","09:00-18:00","","","","지방자치단체","공공용시설","수세식","Y","장애인화장실+남자화장실+여자화장실","N","Y","여자화장실","","2020-09-25"
"2378","공중화장실","상계8동주민자치센터 공중화장실(2층)","서울 노원구 동일로227길 97 (상계동, 상계8동주민센터)","37.6666905","127.0515706","","N","1","1","0","0","0","0","1","0","0","상계8동주민자치센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2379","공중화장실","상계8동주민자치센터 공중화장실 (3층)","서울 노원구 동일로227길 97 (상계동, 상계8동주민센터)","37.6666905","127.0515706","","N","1","1","0","0","0","0","1","0","0","상계8동주민자치센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2380","공중화장실","상계8동주민자치센터 공중화장실 (1층)","서울 노원구 동일로227길 97 (상계동, 상계8동주민센터) 1층","37.6666905","127.0515706","","N","1","1","0","0","0","0","1","0","0","상계8동주민자치센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"3468","공중화장실","홈플러스 화장실","서울특별시 도봉구 도봉로 678, 홈플러스데스코㈜방학점 (방학동)","37.6648183","127.0435994","서울특별시 도봉구 방학동 707-7 홈플러스데스코㈜방학점","N","3","3","1","1","1","1","6","1","1","홈플러스","02-912-2080","10:00-22:00","","","","지방자치단체","공공용시설","수세식","Y","장애인화장실+남자화장실+여자화장실","Y","N","없음","","2020-09-25"
"3476","공중화장실","간송옛집 화장실","서울특별시 도봉구 시루봉로 149-18, 전형필 가옥 (방학동)","37.6648047","127.0281676","서울특별시 도봉구 방학동 430 전형필 가옥","N","0","2","1","1","0","0","2","1","0","도봉구청 문화체육과","02-954-5757","09:00-18:00","","","","지방자치단체","공공용시설","수거식","N","없음","Y","N","없음","","2020-09-25"
"2395","공중화장실","당고개 배드민턴장 1층 화장실","서울 노원구 상계로 273 (상계동)","37.6645066","127.0737934","","N","2","3","0","0","1","0","4","0","0","노원서비스공단 체육사업팀","","정시","","","","공공기관","관광·체육시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2445","공중화장실","상계9동주민센터 공중화장실 (1층 남자화장실)","서울 노원구 한글비석로 487 (상계동, 상계9동주민센터)","37.664497","127.063792","","N","2","2","0","0","0","0","1","0","0","상계9동주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2446","공중화장실","상계9동주민센터 공중화장실 (2층 여자화장실)","서울 노원구 한글비석로 487 (상계동, 상계9동주민센터)","37.664497","127.063792","","N","1","1","0","0","0","0","4","0","0","상계9동주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2447","공중화장실","상계9동주민센터 공중화장실 (3층 남자화장실)","서울 노원구 한글비석로 487 (상계동, 상계9동주민센터)","37.664497","127.063792","","N","1","1","0","0","0","0","1","0","0","상계9동주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2448","공중화장실","상계9동 주민자치센터 공중화장실 (남1층)","서울 노원구 한글비석로 487 (상계동, 상계9동주민센터)","37.664497","127.063792","","N","2","2","0","0","0","0","1","0","0","상계9동 주민자치센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2449","공중화장실","상계9동 주민센터 공중화장실( 여2층)","서울 노원구 한글비석로 487 (상계동, 상계9동주민센터)","37.664497","127.063792","","N","1","1","0","0","0","0","4","0","0","상계9동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2450","공중화장실","상계9동 주민센터 공중화장실 (남3층)","서울 노원구 한글비석로 487 (상계동, 상계9동주민센터)","37.664497","127.063792","","N","1","1","0","0","0","0","0","0","0","상계9동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"3469","공중화장실","방학1동 주민센터 화장실","서울특별시 도봉구 방학로2길 27, 방학1동주민센터 (방학동)","37.6641869","127.0406368","서울특별시 도봉구 방학동 687-27 방학1동주민센터","N","3","2","0","0","0","0","4","0","0","방학1동 주민센터","02-2091-5608","09:00-18:00","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2020-09-25"
"3480","공중화장실","둘리쌍문공원 세심천","서울특별시 도봉구 시루봉로 65-59, 세심천노인정 (방학동)","37.6641352","127.0406833","서울특별시 도봉구 방학동 산 90-14 세심천노인정","N","2","3","1","0","0","0","5","0","0","도봉구 공원녹지과","02-2091-3757","상시","","","","지방자치단체","관광·체육시설","수세식","Y","장애인화장실+여자화장실","N","Y","여자화장실","","2020-10-05"
"3495","공중화장실","쌍문그린공원 화장실","서울특별시 도봉구 시루봉로 65-59, 세심천노인정 (방학동)","37.6641352","127.0406833","서울특별시 도봉구 방학동 산 90-14 세심천노인정","N","2","3","0","0","0","0","6","0","0","방학3동 주민센터","02-2091-3772","상시","","","","지방자치단체","공공용시설","수세식","Y","장애인화장실+여자화장실","Y","Y","남자화장실+여자화장실","","2020-09-25"
"2367","공중화장실","수락산역 화장실","서울 노원구 동일로 지하 1662 (상계동, 수락산역)","37.6630788","127.0794424","","N","5","6","0","1","1","1","7","0","0","서울교통공사","","정시","","","","공공기관","교통시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"3494","공중화장실","도봉여성센터 화장실","서울특별시 도봉구 방학로12길 28, 도봉여성센터, 보육정보센터 (방학동)","37.662926","127.030294","서울특별시 도봉구 방학동 306-10 도봉여성센터, 보육정보센터","N","1","2","0","0","1","0","4","0","0","도봉구청 여성가족과","02-955-0104","09:00-22:00","","","","지방자치단체","공공용시설","수세식","Y","장애인화장실+여자화장실","N","Y","여자화장실","","2020-09-25"
"2444","공중화장실","상계5동주민센터 공중화장실","서울 노원구 한글비석로 434 (상계동, 상계5동주민센터)","37.6629135","127.0693745","","N","3","3","0","0","0","0","3","0","0","상계5동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2178","공중화장실","우이동 교통광장 공중화장실","서울특별시 강북구 삼양로 672 (우이동, 만남의 집)","37.6628088","127.0131736","","N","2","3","1","1","0","0","3","0","0","강북구청 청소행정과","02-901-6773","00:00~24:00","","","","지방자치단체","기타","수세식","Y","장애인화장실+여자화장실","N","N","없음","","2020-04-01"
"3461","공중화장실","방학사거리 공중화장실","서울특별시 도봉구 방학로 101 (방학동)","37.6625819","127.0410405","서울특별시 도봉구 방학동 677","N","2","3","0","0","0","0","6","0","0","도봉구청 자원순환과","02-2091-3254","상시","","","","지방자치단체","공공용시설","수세식","Y","여자화장실","Y","N","없음","","2020-09-28"
"3496","공중화장실","평생학습관 화장실","서울특별시 도봉구 시루봉로 128, 도봉구 평생학습관 (방학동)","37.6621078","127.0278197","서울특별시 도봉구 방학동 446-5 도봉구 평생학습관","N","10","10","1","2","1","1","18","1","1","도봉구청 문화체육과","02-955-0655","07:00-22:00","2009-01","","","지방자치단체","공공용시설","수세식","Y","장애인화장실","N","Y","여자화장실","","2020-09-25"
"3462","공중화장실","방학천 공중화장실","서울특별시 도봉구 도당로6길 36 (방학동)","37.6614155","127.0368982","서울특별시 도봉구 방학동 265-3","N","1","2","0","0","0","0","3","0","0","도봉구청 자원순환과","02-2091-3254","상시","","","","지방자치단체","공공용시설","수세식","Y","여자화장실","Y","N","없음","","2020-09-28"
"2293","공중화장실","상계10동주민센터(1층)","서울 노원구 노원로 530 (상계동, 상계10동주민센터)","37.6612747","127.0602644","","N","1","1","0","0","0","0","0","0","0","상계10동주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2294","공중화장실","상계10동주민센터(2층)","서울 노원구 노원로 530 (상계동, 상계10동주민센터)","37.6612747","127.0602644","","N","1","1","0","0","0","0","2","0","0","상계10동주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2292","공중화장실","온수골행복발전소 공중화장실 (지하1층)","서울 노원구 노원로 522 (상계동, )","37.6611213","127.060982","","N","1","2","0","0","0","0","2","0","0","상계10동주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2394","공중화장실","상계역 화장실","서울 노원구 상계로 182 (상계동, 상계역)","37.6610953","127.0735256","","N","2","5","0","1","1","1","4","0","0","서울교통공사","","정시","","","","공공기관","교통시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"2311","공중화장실","노원정보도서관 공중화장실(지층)","서울 노원구 노원로34길 43 (상계동, 노원정보도서관)","37.6610279","127.0650403","","N","4","3","0","0","0","0","6","0","0","노원정보도서관","","정시","","","","공공기관","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2312","공중화장실","노원정보도서관 공중화장실(1층)","서울 노원구 노원로34길 43 (상계동, 노원정보도서관)","37.6610279","127.0650403","","N","4","3","0","0","1","0","6","0","0","노원정보도서관","","정시","","","","공공기관","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2313","공중화장실","노원정보도서관 공중화장실(2층)","서울 노원구 노원로34길 43 (상계동, 노원정보도서관)","37.6610279","127.0650403","","N","4","3","0","0","0","0","6","0","0","노원정보도서관","","정시","","","","공공기관","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2314","공중화장실","노원정보도서관 공중화장실(3층)","서울 노원구 노원로34길 43 (상계동, 노원정보도서관)","37.6610279","127.0650403","","N","4","3","0","0","0","0","6","0","0","노원정보도서관","","정시","","","","공공기관","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2315","공중화장실","노원정보도서관 공중화장실(4층)","서울 노원구 노원로34길 43 (상계동, 노원정보도서관)","37.6610279","127.0650403","","N","4","3","0","0","0","0","6","0","0","노원정보도서관","","정시","","","","공공기관","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2442","개방화장실","상계역전상가A동(개방화장실)","서울 노원구 한글비석로 396 (상계동, 벽산아파트)","37.6609972","127.0724021","","N","3","5","0","0","0","0","3","0","0","노원구 자원순환과","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2443","개방화장실","상계역전상가 B동(개방화장실)","서울 노원구 한글비석로 396 (상계동, 벽산아파트)","37.6609972","127.0724021","","N","3","4","0","0","0","0","3","0","0","노원구 자원순환과","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"3451","공중화장실","신방학초교 뒤","서울특별시 도봉구 해등로32가길 104 (방학동)","37.6609361","127.020427","서울특별시 도봉구 방학동 553-4","N","1","1","0","0","0","0","1","0","0","도봉구 공원녹지과","02-2091-3764","상시","2020-01","","","지방자치단체","관광·체육시설","수세식","N","없음","N","N","없음","","2020-10-05"
"3498","공중화장실","창4동 주민센터행정실 화장실","서울특별시 도봉구 마들로13길 218 (창동)","37.6599186","127.0453918","서울특별시 도봉구 창동 181-39","N","1","1","0","0","0","0","2","0","0","창4동 주민센터","02-2091-5755","09:00-19:00","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2020-09-25"
"3481","공중화장실","발바닥공원","서울특별시 도봉구 시루봉로6길 33 (방학동)","37.6596782","127.0296263","서울특별시 도봉구 방학동 270-1","N","2","3","0","0","0","0","3","0","0","도봉구 공원녹지과","02-2091-3773","상시","","","","지방자치단체","관광·체육시설","수세식","N","없음","N","N","없음","","2020-10-05"
"3474","공중화장실","발다닥공원 화장실","서울특별시 도봉구 시루봉로 94, 방학3동주민센터 (방학동)","37.6592049","127.0279151","서울특별시 도봉구 방학동 273 방학3동주민센터","N","2","3","0","0","0","0","3","0","0","방학3동 주민센터","02-2091-3772","상시","","","","지방자치단체","공공용시설","수세식","Y","장애인화장실+여자화장실","N","Y","여자화장실","","2020-09-25"
"3508","공중화장실","어린이문화정보도서관 화장실","서울특별시 도봉구 노해로69길 151, 도봉아이나라도서관 (창동)","37.6590072","127.0494699","서울특별시 도봉구 창동 808-1 도봉아이나라도서관","N","9","3","1","0","1","0","19","0","0","도봉구 문화체육과","02-995-4171","09:00-20:00","2008-04","","","지방자치단체","공공용시설","수세식","Y","장애인화장실","N","N","없음","","2020-09-25"
"2388","공중화장실","상계2동 주민센터 공중화장실 (1층)","서울 노원구 상계로 118 (상계동, 상계2동복합청사)","37.6587754","127.0684857","","N","2","2","0","0","0","0","4","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"2389","공중화장실","상계2동 주민센터 공중화장실 (1층)","서울 노원구 상계로 118 (상계동, 상계2동복합청사)","37.6587754","127.0684857","","N","2","2","0","0","0","0","4","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"2390","공중화장실","상계2동 주민센터 공중화장실(2층)","서울 노원구 상계로 118 (상계동, 상계2동복합청사)","37.6587754","127.0684857","","N","1","2","0","0","0","0","2","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2391","공중화장실","상계2동 주민센터 공중화장실(3층)","서울 노원구 상계로 118 (상계동, 상계2동복합청사)","37.6587754","127.0684857","","N","1","2","0","0","0","0","3","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"2392","공중화장실","상계2동 주민센터 공중화장실(4층)","서울 노원구 상계로 118 (상계동, 상계2동복합청사)","37.6587754","127.0684857","","N","1","2","0","0","0","0","3","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2393","공중화장실","상계2동 주민센터 공중화장실(5층)","서울 노원구 상계로 118 (상계동, 상계2동복합청사)","37.6587754","127.0684857","","N","1","2","0","0","0","0","3","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2398","공중화장실","상계2동 원터행복 발전소 공중화장실 (1층)","서울 노원구 상계로23길 17 (상계동, 원터행복발전소)","37.6587743","127.0685054","","N","1","1","0","0","0","0","1","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2399","공중화장실","상계2동 원터행복 발전소 (2층 남자화장실)","서울 노원구 상계로23길 17 (상계동, 원터행복발전소)","37.6587743","127.0685054","","N","2","2","0","0","0","0","1","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2400","공중화장실","상계2동 원터행복  (3층 여자화장실)","서울 노원구 상계로23길 17 (상계동, 원터행복발전소)","37.6587743","127.0685054","","N","1","1","0","0","0","0","2","0","0","상계2동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
